Year,Area,Population
1900,Total U. S,76303384
1900,Continental U. S,75994576
1900,Alabama,1828697
1900,Alaska,63592
1900,Arizona,122931
1900,Arkansas,1311564
1900,California,1485053
1900,Colorado,539700
1900,Connecticut,908420
1900,Delaware,184735
1900,D. C,278718
1900,Florida,528542
1900,Georgia,2216331
1900,Hawaii,154001
1900,Idaho,161772
1900,Illinois,4821550
1900,Indiana,2516462
1900,Iowa,2231853
1900,Kansas,1470495
1900,Kentucky,2147174
1900,Louisiana,1381625
1900,Maine,694466
1900,Maryland,1188044
1900,Massachusetts,2805346
1900,Michigan,2420982
1900,Minnesota,1751394
1900,Mississippi,1551270
1900,Missouri,3106665
1900,Montana,243329
1900,Nebraska,1066300
1900,Nevada,42335
1900,New Hampshire,411588
1900,New Jersey,1883669
1900,New Mexico,195310
1900,New York,7268894
1900,North Carolina,1893810
1900,North Dakota,319146
1900,Ohio,4157545
1900,Oklahoma,790391
1900,Oregon,413536
1900,Pennsylvania,6302115
1900,Rhode Island,428556
1900,South Carolina,1340316
1900,South Dakota,401570
1900,Tennessee,2020616
1900,Texas,3048710
1900,Utah,276749
1900,Vermont,343641
1900,Virginia,1854184
1900,Washington,518103
1900,West Virginia,958800
1900,Wisconsin,2069042
1900,Wyoming,92531
1910,Continental U. S,91972264
1910,Alabama,2138093
1910,Alaska,64356
1910,Arizona,204354
1910,Arkansas,1574449
1910,California,2377549
1910,Colorado,799024
1910,Connecticut,1114756
1910,Delaware,202322
1910,D. C,331069
1910,Florida,752619
1910,Georgia,2609121
1910,Hawaii ,191909
1910,Idaho,325594
1910,Illinois,5638591
1910,Indiana,2700876
1910,Iowa,2224771
1910,Kansas,1690949
1910,Kentucky,2289905
1910,Louisiana,1656388
1910,Maine,742371
1910,Maryland,1295346
1910,Massachusetts,3366416
1910,Michigan,2810173
1910,Minnesota,2075708
1910,Mississippi,1797114
1910,Missouri,3293335
1910,Montana,376053
1910,Nebraska,1192214
1910,Nevada,81875
1910,New Hampshire,430572
1910,New Jersey,2537167
1910,New Mexico ,327301
1910,New York,9113614
1910,North Carolina,2206287
1910,North Dakota,577056
1910,Ohio,4767121
1910,Oklahoma,1657155
1910,Oregon,672765
1910,Pennsylvania,7665111
1910,Rhode Island,542610
1910,South Carolina,1515400
1910,South Dakota,583888
1910,Tennessee,2184789
1910,Texas,3896542
1910,Utah,373351
1910,Vermont,355956
1910,Virginia,2061612
1910,Washington,1141990
1910,West Virginia,1221119
1910,Wisconsin,2333860
1910,Wyoming,145965
1920,Continental U. S,105710624
1920,Alabama,2348174
1920,Alaska,55036
1920,Arizona,334162
1920,Arkansas,1752204
1920,California,3426861
1920,Colorado,939629
1920,Connecticut,1380631
1920,Delaware,223003
1920,D. C,437571
1920,Florida,968470
1920,Georgia,2895832
1920,Hawaii ,255881
1920,Idaho,431866
1920,Illinois,6485280
1920,Indiana,2930390
1920,Iowa,2404021
1920,Kansas,1769257
1920,Kentucky,2416630
1920,Louisiana,1798509
1920,Maine,768014
1920,Maryland,1449661
1920,Massachusetts,3852356
1920,Michigan,3668412
1920,Minnesota,2387125
1920,Mississippi,1790618
1920,Missouri,3404055
1920,Montana,548889
1920,Nebraska,1296372
1920,Nevada,77407
1920,New Hampshire,443083
1920,New Jersey,3155900
1920,New Mexico,360350
1920,New York,10385228
1920,North Carolina,2559123
1920,North Dakota,646872
1920,Ohio,5759394
1920,Oklahoma,2028283
1920,Oregon,783389
1920,Pennsylvania,8720018
1920,Rhode Island,604397
1920,South Carolina,1683724
1920,South Dakota,636547
1920,Tennessee,2337885
1920,Texas,4663228
1920,Utah,449396
1920,Vermont,352428
1920,Virginia,2309187
1920,Washington,1356621
1920,West Virginia,1463701
1920,Wisconsin,2632067
1920,Wyoming,194402
1890,Continental U. S,62622248
1890,Alabama,1513017
1890,Alaska,32052
1890,Arizona,59620
1890,Arkansas,1128179
1890,California,1208130
1890,Colorado,412198
1890,Connecticut,746258
1890,Delaware,168493
1890,D. C,230392
1890,Florida,391422
1890,Georgia,1837353
1890,Idaho,84385
1890,Illinois,3826351
1890,Indiana,2192404
1890,Iowa,1911896
1890,Kansas,1427096
1890,Kentucky,1858635
1890,Louisiana,1118587
1890,Maine,661086
1890,Maryland,1042390
1890,Massachusetts,2238943
1890,Michigan,2093889
1890,Minnesota,1301826
1890,Mississippi,1289600
1890,Missouri,2679184
1890,Montana,132159
1890,Nebraska,1058910
1890,Nevada,45761
1890,New Hampshire,376530
1890,New Jersey,1444933
1890,New Mexico ,153593
1890,New York,5997853
1890,North Carolina,1617947
1890,North Dakota,182719
1890,Ohio,3672316
